Country,City,Date,Year,Month,Day,Temp
South Africa,Capetown,01/01/1995,1995,1,1,19.33333333
South Africa,Capetown,02/01/1995,1995,1,2,19.88888889
South Africa,Capetown,03/01/1995,1995,1,3,19.38888889
South Africa,Capetown,04/01/1995,1995,1,4,20.83333333
South Africa,Capetown,05/01/1995,1995,1,5,21.44444444
South Africa,Capetown,06/01/1995,1995,1,6,20.61111111
South Africa,Capetown,07/01/1995,1995,1,7,19
South Africa,Capetown,08/01/1995,1995,1,8,19.33333333
South Africa,Capetown,09/01/1995,1995,1,9,21.66666667
South Africa,Capetown,10/01/1995,1995,1,10,23.38888889
South Africa,Capetown,11/01/1995,1995,1,11,23.27777778
South Africa,Capetown,12/01/1995,1995,1,12,20.22222222
South Africa,Capetown,13/01/1995,1995,1,13,21.22222222
South Africa,Capetown,14/01/1995,1995,1,14,21.88888889
South Africa,Capetown,15/01/1995,1995,1,15,24.94444444
South Africa,Capetown,16/01/1995,1995,1,16,22.61111111
South Africa,Capetown,17/01/1995,1995,1,17,21.83333333
South Africa,Capetown,18/01/1995,1995,1,18,19.72222222
South Africa,Capetown,19/01/1995,1995,1,19,21.38888889
South Africa,Capetown,20/01/1995,1995,1,20,22.44444444
South Africa,Capetown,21/01/1995,1995,1,21,21.66666667
South Africa,Capetown,22/01/1995,1995,1,22,20.22222222
South Africa,Capetown,23/01/1995,1995,1,23,22.88888889
South Africa,Capetown,24/01/1995,1995,1,24,20.77777778
South Africa,Capetown,25/01/1995,1995,1,25,19.5
South Africa,Capetown,26/01/1995,1995,1,26,19.83333333
South Africa,Capetown,27/01/1995,1995,1,27,19.77777778
South Africa,Capetown,28/01/1995,1995,1,28,18.77777778
South Africa,Capetown,29/01/1995,1995,1,29,18.83333333
South Africa,Capetown,30/01/1995,1995,1,30,19.33333333
South Africa,Capetown,31/01/1995,1995,1,31,19.44444444
South Africa,Capetown,01/02/1995,1995,2,1,18.83333333
South Africa,Capetown,02/02/1995,1995,2,2,21.11111111
South Africa,Capetown,03/02/1995,1995,2,3,21.66666667
South Africa,Capetown,04/02/1995,1995,2,4,24.44444444
South Africa,Capetown,05/02/1995,1995,2,5,23.88888889
South Africa,Capetown,06/02/1995,1995,2,6,21.77777778
South Africa,Capetown,07/02/1995,1995,2,7,21
South Africa,Capetown,08/02/1995,1995,2,8,21.44444444
South Africa,Capetown,09/02/1995,1995,2,9,23.83333333
South Africa,Capetown,10/02/1995,1995,2,10,21.66666667
South Africa,Capetown,11/02/1995,1995,2,11,20.22222222
South Africa,Capetown,12/02/1995,1995,2,12,21.44444444
South Africa,Capetown,13/02/1995,1995,2,13,20.33333333
South Africa,Capetown,14/02/1995,1995,2,14,20.33333333
South Africa,Capetown,15/02/1995,1995,2,15,19.44444444
South Africa,Capetown,16/02/1995,1995,2,16,20.88888889
South Africa,Capetown,17/02/1995,1995,2,17,23.61111111
South Africa,Capetown,18/02/1995,1995,2,18,20.88888889
South Africa,Capetown,19/02/1995,1995,2,19,20.44444444
South Africa,Capetown,20/02/1995,1995,2,20,18.16666667
South Africa,Capetown,21/02/1995,1995,2,21,18.83333333
South Africa,Capetown,22/02/1995,1995,2,22,20.11111111
South Africa,Capetown,23/02/1995,1995,2,23,20.61111111
South Africa,Capetown,24/02/1995,1995,2,24,22.38888889
South Africa,Capetown,25/02/1995,1995,2,25,23
South Africa,Capetown,26/02/1995,1995,2,26,21.55555556
South Africa,Capetown,27/02/1995,1995,2,27,19.55555556
South Africa,Capetown,28/02/1995,1995,2,28,20
South Africa,Capetown,01/03/1995,1995,3,1,23.16666667
South Africa,Capetown,02/03/1995,1995,3,2,23
South Africa,Capetown,03/03/1995,1995,3,3,20.77777778
South Africa,Capetown,04/03/1995,1995,3,4,19.72222222
South Africa,Capetown,05/03/1995,1995,3,5,20.22222222
South Africa,Capetown,06/03/1995,1995,3,6,20.44444444
South Africa,Capetown,07/03/1995,1995,3,7,22.94444444
South Africa,Capetown,08/03/1995,1995,3,8,19.44444444
South Africa,Capetown,09/03/1995,1995,3,9,21.83333333
South Africa,Capetown,10/03/1995,1995,3,10,23.72222222
South Africa,Capetown,11/03/1995,1995,3,11,19.16666667
South Africa,Capetown,12/03/1995,1995,3,12,18.38888889
South Africa,Capetown,13/03/1995,1995,3,13,19.94444444
South Africa,Capetown,14/03/1995,1995,3,14,22
South Africa,Capetown,15/03/1995,1995,3,15,22.88888889
South Africa,Capetown,16/03/1995,1995,3,16,22.77777778
South Africa,Capetown,17/03/1995,1995,3,17,21.05555556
South Africa,Capetown,18/03/1995,1995,3,18,17.44444444
South Africa,Capetown,19/03/1995,1995,3,19,16.88888889
South Africa,Capetown,20/03/1995,1995,3,20,18.27777778
South Africa,Capetown,21/03/1995,1995,3,21,19.5
South Africa,Capetown,22/03/1995,1995,3,22,20.5
South Africa,Capetown,23/03/1995,1995,3,23,20.11111111
South Africa,Capetown,24/03/1995,1995,3,24,21.27777778
South Africa,Capetown,25/03/1995,1995,3,25,17.55555556
South Africa,Capetown,26/03/1995,1995,3,26,17.16666667
South Africa,Capetown,27/03/1995,1995,3,27,21.05555556
South Africa,Capetown,28/03/1995,1995,3,28,19.22222222
South Africa,Capetown,29/03/1995,1995,3,29,16.11111111
South Africa,Capetown,30/03/1995,1995,3,30,16.94444444
South Africa,Capetown,31/03/1995,1995,3,31,16.05555556
South Africa,Capetown,01/04/1995,1995,4,1,18.83333333
South Africa,Capetown,02/04/1995,1995,4,2,17.38888889
South Africa,Capetown,03/04/1995,1995,4,3,18
South Africa,Capetown,04/04/1995,1995,4,4,17.88888889
South Africa,Capetown,05/04/1995,1995,4,5,16.38888889
South Africa,Capetown,06/04/1995,1995,4,6,18.61111111
South Africa,Capetown,07/04/1995,1995,4,7,17.44444444
South Africa,Capetown,08/04/1995,1995,4,8,15.11111111
South Africa,Capetown,09/04/1995,1995,4,9,17
